timestamp,cpu_usage,ram_usage,requests
2024-01-01 00:00:00,5.0,10.0,32
2024-01-01 00:15:00,17.9,16.62,93
2024-01-01 00:30:00,7.1,10.0,48
2024-01-01 00:45:00,5.0,10.0,55
2024-01-01 01:00:00,7.16,10.0,92
2024-01-01 01:15:00,7.96,10.0,88
2024-01-01 01:30:00,7.68,10.0,45
2024-01-01 01:45:00,10.61,10.0,56
2024-01-01 02:00:00,6.35,10.0,64
2024-01-01 02:15:00,16.37,13.61,96
2024-01-01 02:30:00,41.79,31.28,555
2024-01-01 02:45:00,7.03,10.0,91
2024-01-01 03:00:00,12.47,11.81,63
2024-01-01 03:15:00,20.33,18.53,116
2024-01-01 03:30:00,17.51,16.94,145
2024-01-01 03:45:00,21.76,14.71,247
2024-01-01 04:00:00,21.81,15.51,274
2024-01-01 04:15:00,36.86,26.73,794
2024-01-01 04:30:00,63.19,44.59,889
2024-01-01 04:45:00,16.05,15.07,92
2024-01-01 05:00:00,29.4,24.51,383
2024-01-01 05:15:00,31.68,25.87,442
2024-01-01 05:30:00,22.86,13.9,301
2024-01-01 05:45:00,57.96,45.11,359
2024-01-01 06:00:00,31.07,18.79,373
2024-01-01 06:15:00,20.41,16.25,160
2024-01-01 06:30:00,26.7,21.38,207
2024-01-01 06:45:00,29.83,20.36,443
2024-01-01 07:00:00,31.3,27.36,384
2024-01-01 07:15:00,38.11,37.06,224
2024-01-01 07:30:00,43.71,37.59,225
2024-01-01 07:45:00,29.86,25.31,355
2024-01-01 08:00:00,38.06,27.79,233
2024-01-01 08:15:00,44.07,31.56,580
2024-01-01 08:30:00,38.38,30.08,536
2024-01-01 08:45:00,33.82,23.09,414
2024-01-01 09:00:00,47.23,41.44,275
2024-01-01 09:15:00,45.61,34.34,230
2024-01-01 09:30:00,49.39,43.49,357
2024-01-01 09:45:00,49.94,37.49,574
2024-01-01 10:00:00,42.98,34.82,372
2024-01-01 10:15:00,46.93,38.57,653
2024-01-01 10:30:00,60.99,49.08,605
2024-01-01 10:45:00,41.97,35.02,604
2024-01-01 11:00:00,48.7,41.18,714
2024-01-01 11:15:00,45.08,31.52,609
2024-01-01 11:30:00,52.87,42.57,632
2024-01-01 11:45:00,49.61,36.26,683
2024-01-01 12:00:00,45.2,40.31,358
2024-01-01 12:15:00,52.58,53.62,682
2024-01-01 12:30:00,51.16,41.46,428
2024-01-01 12:45:00,47.57,38.3,459
2024-01-01 13:00:00,47.25,38.04,253
2024-01-01 13:15:00,49.64,36.48,630
2024-01-01 13:30:00,61.26,54.54,696
2024-01-01 13:45:00,39.19,31.91,507
2024-01-01 14:00:00,43.46,39.75,292
2024-01-01 14:15:00,56.15,46.13,651
2024-01-01 14:30:00,49.21,44.32,547
2024-01-01 14:45:00,53.66,40.8,275
2024-01-01 15:00:00,77.18,64.06,751
2024-01-01 15:15:00,37.67,29.82,351
2024-01-01 15:30:00,41.94,33.95,366
2024-01-01 15:45:00,46.17,39.66,306
2024-01-01 16:00:00,40.35,31.12,581
2024-01-01 16:15:00,36.92,35.87,386
2024-01-01 16:30:00,41.4,31.26,236
2024-01-01 16:45:00,36.89,28.44,441
2024-01-01 17:00:00,39.24,33.28,306
2024-01-01 17:15:00,26.24,17.33,334
2024-01-01 17:30:00,34.09,30.57,426
2024-01-01 17:45:00,35.24,30.98,467
2024-01-01 18:00:00,31.62,24.91,458
2024-01-01 18:15:00,21.04,15.49,174
2024-01-01 18:30:00,33.12,28.38,195
2024-01-01 18:45:00,19.55,20.95,271
2024-01-01 19:00:00,26.89,19.82,300
2024-01-01 19:15:00,22.66,18.74,299
2024-01-01 19:30:00,17.58,10.0,230
2024-01-01 19:45:00,21.5,21.28,125
2024-01-01 20:00:00,24.29,18.95,148
2024-01-01 20:15:00,60.99,46.31,759
2024-01-01 20:30:00,12.77,10.0,174
2024-01-01 20:45:00,21.12,16.93,121
2024-01-01 21:00:00,27.24,23.01,325
2024-01-01 21:15:00,20.22,16.73,110
2024-01-01 21:30:00,15.3,15.17,171
2024-01-01 21:45:00,5.24,10.0,56
2024-01-01 22:00:00,5.0,10.0,65
2024-01-01 22:15:00,6.08,10.36,87
2024-01-01 22:30:00,49.1,37.88,730
2024-01-01 22:45:00,14.38,11.25,193
2024-01-01 23:00:00,5.0,10.0,27
2024-01-01 23:15:00,18.26,15.55,263
2024-01-01 23:30:00,5.34,10.0,77
2024-01-01 23:45:00,15.98,17.41,137
2024-01-02 00:00:00,17.76,14.55,181
2024-01-02 00:15:00,15.13,12.6,136
2024-01-02 00:30:00,62.55,52.67,445
2024-01-02 00:45:00,38.36,35.02,359
2024-01-02 01:00:00,18.19,14.78,163
2024-01-02 01:15:00,10.61,10.88,80
2024-01-02 01:30:00,5.0,10.0,56
2024-01-02 01:45:00,5.18,10.0,43
2024-01-02 02:00:00,7.75,10.0,53
2024-01-02 02:15:00,8.6,10.0,50
2024-01-02 02:30:00,9.91,10.0,99
2024-01-02 02:45:00,55.17,44.78,757
2024-01-02 03:00:00,20.11,14.23,251
2024-01-02 03:15:00,14.48,10.0,161
2024-01-02 03:30:00,20.11,13.13,280
2024-01-02 03:45:00,15.22,10.0,157
2024-01-02 04:00:00,19.07,15.11,156
2024-01-02 04:15:00,28.44,25.39,366
2024-01-02 04:30:00,31.87,28.54,396
2024-01-02 04:45:00,15.62,10.0,179
2024-01-02 05:00:00,24.96,20.35,184
2024-01-02 05:15:00,21.57,15.79,148
2024-01-02 05:30:00,12.31,11.9,182
2024-01-02 05:45:00,21.94,19.82,147
2024-01-02 06:00:00,40.22,37.03,313
2024-01-02 06:15:00,26.18,15.53,263
2024-01-02 06:30:00,22.38,20.3,241
2024-01-02 06:45:00,26.74,21.53,223
2024-01-02 07:00:00,32.17,28.01,380
2024-01-02 07:15:00,22.82,15.86,193
2024-01-02 07:30:00,36.03,29.09,245
2024-01-02 07:45:00,41.02,33.58,262
2024-01-02 08:00:00,38.41,29.77,504
2024-01-02 08:15:00,44.36,34.51,395
2024-01-02 08:30:00,36.62,22.6,293
2024-01-02 08:45:00,41.63,32.65,368
2024-01-02 09:00:00,39.72,32.64,571
2024-01-02 09:15:00,45.83,35.42,513
2024-01-02 09:30:00,41.71,34.58,338
2024-01-02 09:45:00,44.5,34.17,561
2024-01-02 10:00:00,53.76,41.67,349
2024-01-02 10:15:00,51.67,45.4,616
2024-01-02 10:30:00,42.03,32.08,591
2024-01-02 10:45:00,50.59,40.31,330
2024-01-02 11:00:00,48.3,38.78,662
2024-01-02 11:15:00,51.72,42.05,624
2024-01-02 11:30:00,42.61,39.75,526
2024-01-02 11:45:00,44.37,35.12,658
2024-01-02 12:00:00,62.69,51.73,563
2024-01-02 12:15:00,44.94,30.99,466
2024-01-02 12:30:00,56.35,42.63,536
2024-01-02 12:45:00,48.77,38.2,486
2024-01-02 13:00:00,54.72,38.24,1000
2024-01-02 13:15:00,45.32,35.76,678
2024-01-02 13:30:00,49.39,39.44,350
2024-01-02 13:45:00,62.17,46.41,351
2024-01-02 14:00:00,34.07,30.53,306
2024-01-02 14:15:00,48.77,38.25,705
2024-01-02 14:30:00,41.77,38.67,219
2024-01-02 14:45:00,46.87,37.59,338
2024-01-02 15:00:00,41.52,34.68,478
2024-01-02 15:15:00,48.21,35.75,653
2024-01-02 15:30:00,38.74,32.84,307
2024-01-02 15:45:00,77.48,58.23,713
2024-01-02 16:00:00,33.79,24.59,297
2024-01-02 16:15:00,33.6,32.14,353
2024-01-02 16:30:00,44.86,35.79,583
2024-01-02 16:45:00,86.15,70.94,652
2024-01-02 17:00:00,35.27,29.26,236
2024-01-02 17:15:00,84.44,64.62,653
2024-01-02 17:30:00,32.83,27.85,167
2024-01-02 17:45:00,36.46,32.11,401
2024-01-02 18:00:00,29.21,25.79,257
2024-01-02 18:15:00,61.59,49.86,679
2024-01-02 18:30:00,25.38,16.25,309
2024-01-02 18:45:00,40.41,31.41,580
2024-01-02 19:00:00,21.95,17.92,218
2024-01-02 19:15:00,23.06,19.18,132
2024-01-02 19:30:00,21.69,22.79,161
2024-01-02 19:45:00,19.38,18.3,211
2024-01-02 20:00:00,19.63,17.56,134
2024-01-02 20:15:00,24.08,21.12,279
2024-01-02 20:30:00,19.65,10.74,141
2024-01-02 20:45:00,24.09,19.68,128
2024-01-02 21:00:00,15.66,14.57,213
2024-01-02 21:15:00,8.83,10.0,54
2024-01-02 21:30:00,22.14,15.03,125
2024-01-02 21:45:00,12.6,13.21,141
2024-01-02 22:00:00,13.09,13.67,188
2024-01-02 22:15:00,18.8,12.99,169
2024-01-02 22:30:00,10.45,12.72,96
2024-01-02 22:45:00,11.18,10.0,87
2024-01-02 23:00:00,10.51,10.0,92
2024-01-02 23:15:00,9.85,10.0,135
2024-01-02 23:30:00,5.07,10.0,75
2024-01-02 23:45:00,16.52,18.08,167
2024-01-03 00:00:00,6.88,10.0,88
2024-01-03 00:15:00,8.13,10.0,102
2024-01-03 00:30:00,7.24,10.0,52
2024-01-03 00:45:00,5.8,10.0,79
2024-01-03 01:00:00,12.11,10.69,139
2024-01-03 01:15:00,5.0,10.0,37
2024-01-03 01:30:00,8.09,10.0,109
2024-01-03 01:45:00,16.71,14.4,141
2024-01-03 02:00:00,15.6,11.4,202
2024-01-03 02:15:00,14.71,13.91,196
2024-01-03 02:30:00,19.59,17.62,129
2024-01-03 02:45:00,10.83,10.0,134
2024-01-03 03:00:00,16.0,16.64,81
2024-01-03 03:15:00,15.98,13.05,121
2024-01-03 03:30:00,14.32,12.11,180
2024-01-03 03:45:00,21.9,13.2,313
2024-01-03 04:00:00,17.77,14.8,142
2024-01-03 04:15:00,10.95,11.66,122
2024-01-03 04:30:00,17.21,14.9,447
2024-01-03 04:45:00,27.83,22.06,329
2024-01-03 05:00:00,18.67,14.41,241
2024-01-03 05:15:00,26.04,19.14,300
2024-01-03 05:30:00,23.71,15.53,342
2024-01-03 05:45:00,17.2,11.68,255
2024-01-03 06:00:00,26.45,19.15,140
2024-01-03 06:15:00,29.59,27.02,434
2024-01-03 06:30:00,33.54,29.0,451
2024-01-03 06:45:00,30.98,26.91,401
2024-01-03 07:00:00,37.05,27.37,344
2024-01-03 07:15:00,35.82,26.61,275
2024-01-03 07:30:00,33.79,26.96,193
2024-01-03 07:45:00,27.26,24.09,325
2024-01-03 08:00:00,39.88,30.19,241
2024-01-03 08:15:00,39.98,28.51,447
2024-01-03 08:30:00,35.62,28.61,302
2024-01-03 08:45:00,34.99,27.15,373
2024-01-03 09:00:00,41.67,32.0,251
2024-01-03 09:15:00,44.44,33.61,537
